Timestamp(ms),Preprocess(ms),Infer(ms),Postprocess(ms),Total(ms)
1764904194861,0,48,12,61
1764904194916,0,36,14,52
1764904194968,0,32,11,45
1764904195004,0,27,3,32
1764904195077,0,43,27,72
1764904195131,2,41,9,53
1764904195176,0,33,10,45
1764904195221,1,39,4,44
1764904195278,3,29,17,50
1764904195339,0,33,26,60
1764904195375,0,31,2,35
1764904195418,0,35,6,43
1764904195459,0,32,5,39
1764904195500,1,35,2,40
1764904195542,1,37,2,41
1764904195586,0,40,2,43
1764904195637,0,45,5,51
1764904195675,0,32,4,37
1764904195716,2,35,2,40
1764904195759,0,39,2,43
1764904195802,0,36,2,40
1764904195846,0,39,3,43
1764904195888,0,38,2,42
1764904195932,0,40,2,44
1764904195977,0,40,2,44
1764904196018,1,36,2,40
1764904196062,0,40,2,43
1764904196105,0,39,2,42
1764904196150,0,41,2,44
1764904196192,0,37,2,41
1764904196235,0,39,2,42
1764904196281,0,38,5,44
1764904196322,0,36,2,39
1764904196365,0,39,2,42
1764904196408,0,40,2,43
1764904196451,0,38,2,42
1764904196494,0,39,2,43
1764904196538,0,40,2,43
1764904196581,0,39,2,43
1764904196625,0,39,3,43
1764904196667,0,38,2,41
1764904196711,0,39,2,43
1764904196754,0,40,2,43
1764904196799,0,39,4,44
1764904196840,2,35,2,41
1764904196884,0,39,3,43
1764904196927,0,38,3,42
1764904196971,0,39,3,43
1764904197015,0,39,4,44
1764904197057,0,37,2,41
1764904197101,0,38,4,43
1764904197143,1,37,2,41
1764904197188,0,39,3,44
1764904197230,0,37,3,41
1764904197273,0,39,2,42
1764904197317,0,38,3,42
1764904197359,1,37,2,41
1764904197408,1,41,5,48
1764904197448,0,34,3,39
1764904197496,3,36,5,46
1764904197537,0,32,3,37
1764904197583,0,34,7,42
1764904197626,0,35,6,43
1764904197668,0,32,3,36
1764904197709,0,33,4,38
1764904197764,1,41,11,54
1764904197798,0,28,2,32
1764904197841,0,39,2,43
1764904197885,0,39,3,43
1764904197929,0,39,4,44
1764904197975,0,38,6,45
1764904198014,0,34,2,37
1764904198057,0,37,2,42
1764904198101,0,40,3,44
1764904198145,0,39,3,43
1764904198187,0,38,2,41
1764904198230,0,39,2,43
1764904198273,0,39,2,43
1764904198316,0,39,2,43
1764904198360,1,39,3,43
1764904198404,0,39,3,43
1764904198448,0,39,3,43
1764904198491,0,37,3,42
1764904198534,0,38,3,43
1764904198578,0,39,3,43
1764904198620,0,35,2,39
1764904198664,0,39,3,44
1764904198706,0,36,2,40
1764904198750,0,37,3,41
1764904198793,0,39,2,42
1764904198836,0,39,2,42
1764904198880,0,39,3,43
1764904198922,0,39,2,42
1764904198966,0,38,2,41
1764904199010,0,39,3,43
1764904199053,0,38,3,42
1764904199096,1,38,3,43
1764904199139,0,34,2,38
1764904199182,0,39,3,43
1764904199227,0,38,4,43
1764904199269,0,37,2,40
1764904199312,0,39,3,43
